consulta,candidato,votos,tot_mpio,p_mpio,depto,cod_depto,municipio,cod_mun
Derecha,Ivan_Duque,520,712,73.03370787,ANTIOQUIA,5,URAMITA,5842
Derecha,Marta_L_Ramirez,106,712,14.88764045,ANTIOQUIA,5,URAMITA,5842
Derecha,Alejandro_Ordonez,18,712,2.528089888,ANTIOQUIA,5,URAMITA,5842
Izquierda,Gustavo_Petro,50,712,7.02247191,ANTIOQUIA,5,URAMITA,5842
Izquierda,Carlos_Caicedo,18,712,2.528089888,ANTIOQUIA,5,URAMITA,5842
Derecha,Ivan_Duque,1460,2134,68.41611996,ANTIOQUIA,5,URRAO,5847
Derecha,Marta_L_Ramirez,326,2134,15.2764761,ANTIOQUIA,5,URRAO,5847
Derecha,Alejandro_Ordonez,145,2134,6.79475164,ANTIOQUIA,5,URRAO,5847
Izquierda,Gustavo_Petro,154,2134,7.216494845,ANTIOQUIA,5,URRAO,5847
Izquierda,Carlos_Caicedo,49,2134,2.296157451,ANTIOQUIA,5,URRAO,5847
Derecha,Ivan_Duque,508,784,64.79591837,ANTIOQUIA,5,VALDIVIA,5854
Derecha,Marta_L_Ramirez,143,784,18.23979592,ANTIOQUIA,5,VALDIVIA,5854
Derecha,Alejandro_Ordonez,33,784,4.209183673,ANTIOQUIA,5,VALDIVIA,5854
Izquierda,Gustavo_Petro,83,784,10.58673469,ANTIOQUIA,5,VALDIVIA,5854
Izquierda,Carlos_Caicedo,17,784,2.168367347,ANTIOQUIA,5,VALDIVIA,5854
Derecha,Ivan_Duque,477,705,67.65957447,ANTIOQUIA,5,VALPARAISO,5856
Derecha,Marta_L_Ramirez,134,705,19.0070922,ANTIOQUIA,5,VALPARAISO,5856
Derecha,Alejandro_Ordonez,28,705,3.971631206,ANTIOQUIA,5,VALPARAISO,5856
Izquierda,Gustavo_Petro,58,705,8.226950355,ANTIOQUIA,5,VALPARAISO,5856
Izquierda,Carlos_Caicedo,8,705,1.134751773,ANTIOQUIA,5,VALPARAISO,5856
Derecha,Ivan_Duque,551,866,63.62586605,ANTIOQUIA,5,VEGACHI,5858
Derecha,Marta_L_Ramirez,147,866,16.97459584,ANTIOQUIA,5,VEGACHI,5858
Derecha,Alejandro_Ordonez,79,866,9.122401848,ANTIOQUIA,5,VEGACHI,5858
Izquierda,Gustavo_Petro,69,866,7.967667436,ANTIOQUIA,5,VEGACHI,5858
Izquierda,Carlos_Caicedo,20,866,2.309468822,ANTIOQUIA,5,VEGACHI,5858
Derecha,Ivan_Duque,1205,1597,75.45397621,ANTIOQUIA,5,VENECIA,5861
Derecha,Marta_L_Ramirez,230,1597,14.40200376,ANTIOQUIA,5,VENECIA,5861
Derecha,Alejandro_Ordonez,49,1597,3.068252974,ANTIOQUIA,5,VENECIA,5861
Izquierda,Gustavo_Petro,95,1597,5.948653726,ANTIOQUIA,5,VENECIA,5861
