n,encuestadora,fecha,muestra,tasa_respuesta,alejandro_ordonez,german_vargas_lleras,gustavo_petro,humberto_delacalle,ivan_duque,juan_carlos_pinzon,marta_lucia_ramirez,piedad_cordoba,sergio_fajardo,rodrigo_londono,carlos_caicedo,otros,blanco,ns/nr,margen_error,fuente,link,muestreo,hipotesis,tipo,muestra_int_voto,municipios
13,Guarumo,2017-12-14,2352,NA,1.6,9.3,9.9,6.5,11.3,1.7,5.5,0.8,15.7,0.8,NA,NA,18.8,13.3,4,"El Tiempo, W Radio",http://www.eltiempo.com/politica/partidos-politicos/asi-esta-la-intencion-de-voto-para-las-elecciones-presidenciales-2018-162414?hootPostID=56ebc52d5a85c19fa9f409d481ef4367,"Estratificado por regiones, Votantes",Proporciones > 20%,Presencial,2352,54
14,CNC,2017-12-18,11018,NA,NA,10,17,9,9,3,7,NA,26,NA,NA,NA,5,6,3.1,CM&,https://www.centronacionaldeconsultoria.com/single-post/2017/12/20/Sergio-Fajardo-encabeza-%25C3%25BAltima-gran-encuesta-presidencial-CM-%25E2%2580%2593-CNC,"Estratificado por ciudades, Adultos",NA,Telefonica,11018,NA
15,YanHaas,2017-12-16,1276,NA,2,7,13,5,6,1,4,1,29,1,1,1.4,29,8,2,RCN,http://imagenes.canalrcn.com/ImgNoticias/17115286_if_segunda_medicion_gran_alianza_de_medios.pdf?zGsbj3dJ.nn.mM84eHW4DWbmZAzBuvOv,"Estratificado por municipios, Adultos",Proporciones > 14%,Presencial,1276,60
16,Datexco,2018-01-20,1220,NA,2.3,6.6,14.2,6.3,6.8,1.2,6.9,1.1,16.6,1.4,NA,1.1,16.3,9,2.9,W Radio,http://www.wradio.com.co/noticias/actualidad/fajardo-con-166-y-petro-142-siguen-punteando-la-intencion-de-voto-a-la-presidencia/20180122/nota/3696364.aspx,"Estratificado por departamentos, Adultos",Proporciones > 50%,Telefonica,1220,NA
17,"Cifras & Conceptos",2018-01-28,2813,NA,3,10,16,5,8,1,5,1,19,1,2,1,7,16,4.6,"Caracol Radio, Red+ Noticias",http://cifrasyconceptos.com/productos-polimetrica/,"Estratificado por ciudades, Adultos",Proporciones > 20%,Presencial,2813,76
18,Invamer,2018-01-29,1200,51,3.4,15.6,23.5,11,9.2,3.4,7.8,1.7,20.2,1.7,NA,NA,6.7,12.9,3.8,"Caracol Radio, Red+ Noticias",https://www.scribd.com/document/370561154/0489-18000010-ELECCIONES-2018-4#download&from_embed,"Estratificado por departamento, Adultos",NA,Presencial,673,58
19,Guarumo,2018-01-31,2187,45,2.5,8.4,12.5,6.5,12.2,1.7,5.8,0.9,14.6,1.6,NA,NA,NA,NA,4,"El Tiempo, W Radio",http://www.eltiempo.com/elecciones-colombia-2018/presidenciales/encuesta-de-guarumo-para-el-tiempo-y-w-radio-178098,"Estratificado por regiones, Votantes",Proporciones > 20%,Presencial,993,54
20,YanHaas,2018-01-28,1251,NA,3,8,13,4,6,2,5,1,14,1,2,NA,30,NA,2.2,RCN,http://www.eluniversal.com.co/sites/default/files/18015302_if_tercera_medicion_gran_encuesta_gran_alianza_de_medios_v2.pdf,"Estratificado por municipios, Adultos",Proporciones > 14%,Presencial,1251,60
21,CNC,2018-02-08,1187,63,1,10,23,5,8,2,6,2,18,1,NA,NA,22,NA,3.5,CM&,https://www.centronacionaldeconsultoria.com/single-post/2018/02/09/Encuesta-CM-CNC-Petro-1%25C2%25B0-Fajardo-2%25C2%25B0-Vargas-Lleras-3%25C2%25B0,"Estratificado por ciudades, Adultos",NA,Presencial,751,NA
22,CNC,2018-02-21,1175,59,2,8,22,5,15,2,6,1,16,NA,NA,NA,20,NA,3.8,CM&,https://canal1.com.co/noticias/politica/petro-fajardo-vargas-bajan-duque-sube-encuesta-presidencial-cnc-cm/,"Estratificado por ciudades, Adultos",NA,Presencial,691,35
23,CELAG,2018-02-07,1200,43,NA,11.9,16.7,6.4,5.4,NA,7.4,4.4,21.1,NA,NA,3.1,7.5,12.1,2.8,CELAG,http://www.celag.org/estudio-opinion-publica-colombia/,"Estratificado por ciudades, Votantes","Proporciones > 50%",Presencial,516,5
24,"Cifras & Conceptos",2018-02-26,2960,NA,3,8,22,4,22,1,6,1,11,1,1,NA,2,6,4.5,"Caracol Radio, Red+ Noticias",http://cifrasyconceptos.com/wp-content/uploads/2018/03/Presentaci%C3%B3n-final-Polim%C3%A9trica-marzo_v1.pdf?8ab3a8,"Estratificado por regiones, Votantes",Proporciones > 20%,Presencial,2960,81
25,Guarumo,2018-03-01,7174,48,1.5,6.3,23.1,4.1,23.6,1,5.7,0.3,8.1,0.3,1.5,0.8,13.2,10.5,2.7,"El Tiempo, W Radio",http://www.eltiempo.com/elecciones-colombia-2018/presidenciales/intencion-de-voto-presidencial-2018-duque-y-petro-lideran-en-tercera-encuesta-el-tiempo-189502,"Estratificado por regiones,Votantes",NA,Presencial,3425,54
26,CNC,2018-03-07,1192,NA,3,7,21,4,18,1,11,1,12,1,1,NA,18,NA,3.6,CM&,"https://www.centronacionaldeconsultoria.com/single-post/2018/03/09/Petro-sigue-en-cabeza-de-la-encuesta-CNC-CM-Duque-se-acomoda-de-segundo", "Estratificado por regiones, Votantes", NA,	Presencial,	1192,35
27,CELAG,2018-03-10,2500,32,NA,10.8,22.9,5.6,24.2,NA,NA,4.4,17.5,NA,NA,NA,8.2,4.6,2.0,CELAG,http://www.celag.org/colombia-elecciones-presidenciales-2018-segunda-encuesta-de-opinion/amp/?__twitter_impression=true,"Estratificado por ciudades, Votantes",Proporciones > 50%,Presencial,2500,20
28,YanHaas,2018-03-20,1250,100,NA,6,24,2,40,NA,NA,1,9,NA,NA,NA,13,5,2.8,RCN,https://www.rcnradio.com/politica/ivan-duque-lidera-la-gran-encuesta-gustavo-petro-es-segundo, "Estratificado por municipios, Adultos",	Proporciones > 24%,	Presencial,	1250,60
29,CNC,2018-03-20,1213,NA,NA,6,26,2,42,NA,NA,1,13,NA,NA,NA,8,NA,3.4,CM&,"https://canal1.com.co/noticias/ivan-duque-adelante-en-la-encuesta-cm-cnc-con-42-de-intencion-de-voto/","Estratificado por ciudades, Adultos",NA,Presencial, 868,55
30,Guarumo,2018-03-21,6294,NA,NA,6.9,22,5.7,35.4,NA,NA,0.4,10.4,NA,NA,NA,11.9,5.8,2.5,"El Tiempo, W Radio",	https://acei.co/wp-content/uploads/2018/03/Guarumo-Marzo-2018.pdf,"Estratificado por regiones, Votantes",	Proporciones > 35%,	Presencial,	2769,56
31,Invamer,2018-03-22,1200,37.12,NA,6.3,26.7,5,45.9,NA,NA,0.6,10.7,NA,NA,NA,2.3,NA,3,"Caracol Radio, Red+ Noticias", https://acei.co/wp-content/uploads/2018/03/Invamer-Marzo-2018.pdf,"Estratificado por departamento, Adultos",NA,Presencial,660,37
32,CNC,2018-04-02,1203,NA,NA,6,22,4,36,NA,NA,1,17,NA,NA,NA,11,NA,3.4,CM&,"https://acei.co/wp-content/uploads/2018/04/CNC-29-de-Marzo-al-2-de-Abril-2018.pdf","Estratificado por regiones, Votantes",NA,Presencial,1203,37
33,Datexco,2018-04-06,1049,86,NA,6.1,33.4,1.6,42.2,NA,NA,0,6.8,NA,NA,NA,0.2,7.8,3.3,"El Tiempo, W Radio",http://www.eltiempo.com/elecciones-colombia-2018/presidenciales/duque-y-petro-lideran-en-nueva-encuesta-de-intencion-de-voto-de-datexco-202934,"Estratificado por regiones, Votantes",Proporciones > 50%,Telefonica,900,NA
34,"Cifras & Conceptos",2018-04-09,2916,NA,NA,10.7,24.6,3.1,35.4,NA,NA,0.4,9.9,NA,NA,NA,4.5,10.4,4.5,"Caracol Radio, Red+ Noticias",http://caracol.com.co/programa/2018/04/11/6am_hoy_por_hoy/1523449511_287692.html,"Estratificado por regiones, Votantes",Proporciones > 20%,Presencial,2916,81
35,CNC,2018-04-17,1216,NA,NA,8,29,3,37,NA,NA,NA,15,NA,NA,NA,6,NA,3.5,CM&,https://canal1.com.co/decision-2018/duque-petro-vargas-lleras-suben-puntos-la-encuesta-del-cnc-cm/,"Estratificado por regiones, Votantes",NA,Presencial,1216,37
36,Guarumo,2018-04-18,6302,42.6,NA,7.4,26.3,3.4,36.6,NA,NA,NA,12.8,NA,NA,NA,7.3,4.8,2.5,"El Tiempo, W Radio",	http://www.eltiempo.com/elecciones-colombia-2018/duque-y-petro-lideran-en-intencion-de-voto-a-35-dias-de-elecciones-quinta-encuesta-de-el-tiempo-208042,"Estratificado por departamentos, Votantes",Proporciones > 35%,Presencial,2688,55
37,CELAG,2018-04-28,2500,39,NA,6,30.1,2.6,34,NA,NA,NA,14.2,NA,NA,NA,7.2,5,2,CELAG,http://www.celag.org/colombia-elecciones-presidenciales-2018-tercera-encuesta-de-opinion/amp/,"Estratificado por regiones, Votantes", NA,Presencial,2500,22
38,YanHaas,2018-04-23,1247,NA,NA,7,28,3,38,NA,NA,NA,11,NA,NA,NA,7,4,3.0,RCN,https://www.noticiasrcn.com/nacional-pais/gran-encuesta-voto-blanco-supera-todos-los-candidatos-aspiran-presidencia-republica,"Estratificado por regiones, Votantes",Proporciones > 28%,Presencial,1247,60	
39,Invamer,2018-04-24,1200,44,NA,7.9,31,2.5,41.3,NA,NA,NA,13.3,NA,NA,NA,1.9,NA,3.0,"Caracol Radio, Red+ Noticias",https://noticias.caracoltv.com/colombia-decide-2018/duque-y-petro-pasarian-segunda-vuelta-segun-encuesta-invamer-de-abril-ie133,"Estratificado por regiones, Votantes",No disponible,Presencial,654,55
40,CNC,2018-05-02,1199,77,NA,7,25,4,38,NA,NA,NA,17,NA,NA,NA,7,NA,3.3,CM&,https://canal1.com.co/noticias/duque-sube-1-punto-y-petro-baja-4-en-la-nueva-encuesta-del-cnc-para-cm/,"Estratificado por regiones, Votantes",	No disponible,Presencial,921,37
41,Cifras & Conceptos,2018-05-11,2977,NA,NA,13.2,22.5,3,34,NA,NA,NA,13.8,NA,NA,NA,6.8,NA,4.5,"Caracol Radio, Red+ Noticias",http://www.redmas.com.co/politica/petro-duque-intencion-voto-3/,"Estratificado por regiones, Votantes",Proporciones > 20%,Presencial,2977,79
42,YanHaas,2018-05-18,1249,NA,NA,6,26,3,35,NA,NA,NA,14,NA,NA,NA,8,NA,3.2,RCN,https://www.lafm.com.co/politica/la-gran-encuesta-asi-esta-la-intencion-de-voto-diez-dias-de-las-elecciones/,"Estratificado por regiones, Votantes",Proporciones > 26%,Presencial,1249,60
43,Datexco,2018-05-19,1800,NA,NA,6.2,31.8,2.1,36.4,NA,NA,NA,16,NA,NA,NA,6.9,NA,2.3,W Radio,http://www.wradio.com.co/noticias/actualidad/segun-encuesta-datexco-duque-con-364--petro-con-318-y-fajardo-con-16/20180518/nota/3751406.aspx,"Estratificado por municipios, Votantes",Proporciones > 50%,Presencial,1754,40
44,Guarumo,2018-05-19,7182,54,NA,11,24.2,2.3,37.6,NA,NA,NA,16,NA,NA,NA,5.8,2.3,2.4,"El Tiempo, W Radio",http://www.eltiempo.com/elecciones-colombia-2018/presidenciales/encuesta-presidencial-de-guarumo-para-el-tiempo-y-la-w-radio-219036,"Estratificado por departamentos, Votantes",Proporciones > 35%,Presencial,3912,87
45,Invamer,2018-05-19,1200,49,NA,6.6,29.5,1.9,41.5,NA,NA,NA,16.3,NA,NA,NA,3.3,NA,2.8,"Caracol Radio, Red+ Noticias",https://www.semana.com/nacion/articulo/encuestas-asi-fue-el-camino-a-la-primera-vuelta-de-las-elecciones-de-2018/567785,"Estratificado por regiones, Votantes",No disponible,Presencial,690,55
46,CNC,2018-05-31,1323,NA,NA,NA,35,NA,55,NA,NA,NA,NA,NA,NA,NA,10,NA,3.0,CM&,NA,"Estratificado por regiones, Votantes",No disponible,Presencial,1323,42
47,YanHaas,2018-06-04,1251,NA,NA,NA,34,NA,52,NA,NA,NA,NA,NA,NA,NA,14,NA,3.2,RCN,NA,"Estratificado por regiones, Votantes",Proporciones > 49%,Presencial,1251,60
48,Invamer,2018-06-05,1200,50.72,NA,NA,37.3,NA,57.2,NA,NA,NA,NA,NA,NA,NA,5.5,NA,2.8,"Caracol Radio, Red+ Noticias",NA,"Estratificado por regiones, Votantes",No disponible,Presencial,789,55
49,Cifras & Conceptos,2018-06-05,1983,NA,NA,NA,36.4,NA,45.3,NA,NA,NA,NA,NA,NA,NA,18.3,NA,4.8,"Caracol Radio, Red+ Noticias",NA,"Estratificado por regiones, Votantes",Proporciones > 20%,Presencial,1983,79
50,Datexco,2018-06-06,1993,NA,NA,NA,40.2,NA,46.2,NA,NA,NA,NA,NA,NA,NA,13.6,NA,2.3,"W Radio",NA,"Estratificado por municipios, Votantes",Proporciones > 50%,Presencial,1993,40
